model_type,latent_dim,activation,output_activation,dropout,l2_reg,batch_norm,noise_std,optimizer,learning_rate,batch_size,loss,n_layers,start_width,width_strategy,n_conv_layers,kernel_size,n_filters_start,filter_strategy,widths,n_params,best_epoch,train_loss,val_loss,best_val_loss,overfit_gap,is_overfit,val_clf_accuracy,val_photon_err_pct,val_neutron_err_pct,composite_score,train_time_s,filters,spatial
cnn,8,relu,linear,0.3,0.0001,False,0.1,nadam,0.0003,1024,mae,,,,3.0,5.0,64.0,double,,467465,25,0.030675040557980537,0.030655555427074432,0.030655555427074432,-0.0006352112516126964,False,0.9887502163419934,1.1998817850458083,1.053580483407516,0.020952669542540492,37.1,"[64, 128, 256]",13.0
dense,8,swish,linear,0.0,0.001,True,0.0,adam,0.001,1024,mae,1.0,64.0,linear,,,,,[64],15088,24,0.02874717488884926,0.028739336878061295,0.028739336878061295,-0.00027265325439002194,False,0.9817311205553739,2.330804846813122,1.3465547354780552,0.023504108161343684,11.3,,
cnn,8,leaky_relu,linear,0.3,0.0,False,0.02,adamw,0.003,256,mse,,,,3.0,5.0,32.0,constant,,28041,9,0.001957189291715622,0.0019561152439564466,0.0019561152439564466,-0.0005487705066247414,False,0.9870002499951924,1.4658654319771451,1.1418483670441526,0.007477932624382011,30.0,"[32, 32, 32]",13.0
dense,8,swish,linear,0.2,0.0001,False,0.1,adam,0.0001,256,mae,4.0,32.0,funnel,,,,,"[8, 8, 8, 8]",2352,25,0.036883190274238586,0.03689981624484062,0.03689981624484062,0.00045077365809237195,False,0.9787792542451107,3.1464880307358882,1.145604447198903,0.029060280999864962,34.5,,
cnn,8,relu,linear,0.0,0.001,True,0.1,nadam,0.0001,512,huber,,,,3.0,5.0,16.0,double,,40713,25,0.001316622830927372,0.0013156600762158632,0.0013156600762158632,-0.0007312304548377217,False,0.9830291725159132,1.9584277411092503,1.4479688996563187,0.009143243780151356,32.2,"[16, 32, 64]",13.0
dense,8,elu,sigmoid,0.2,0.0001,False,0.05,nadam,0.0003,512,huber,5.0,32.0,funnel,,,,,"[8, 8, 8, 8, 8]",2496,9,0.0024829949252307415,0.0024848219472914934,0.0024848219472914934,0.000735813852129453,False,0.48801946116420836,0.0,100.0,0.25723268039154157,16.7,,
cnn,8,elu,linear,0.2,0.0001,True,0.0,adam,0.0003,1024,huber,,,,3.0,3.0,16.0,double,,30409,25,0.0011730382684618235,0.0011722834315150976,0.0011722834315150976,-0.0006434887650474052,False,0.9864233380127305,1.4343414441926903,1.2845794129246717,0.007374472709392288,23.0,"[16, 32, 64]",13.0
dense,8,swish,linear,0.3,0.0001,False,0.05,adamw,0.001,1024,huber,1.0,32.0,geometric,,,,,[32],7344,25,0.0017781059723347425,0.0017826227704063058,0.0017826227704063058,0.0025402299648273835,False,0.9846156804676833,1.8993202640133977,1.1944334892106598,0.008583471151361488,11.1,,
dense,8,relu,linear,0.3,0.001,True,0.1,adamw,0.001,256,huber,1.0,128.0,linear,,,,,[128],30064,25,0.0024818535894155502,0.0024835998192429543,0.0024835998192429543,0.0007035990498598431,False,0.48801946116420836,0.0,100.0,0.2572320693275173,30.1,,
dense,8,swish,linear,0.0,1e-05,True,0.0,adam,0.0003,512,mae,2.0,128.0,linear,,,,,"[128, 16]",32528,25,0.028488080948591232,0.028480911627411842,0.028480911627411842,-0.0002516603765738908,False,0.9859233476279302,1.3634124716776672,1.449846939733694,0.021278781999740815,20.7,,
cnn,8,relu,linear,0.3,1e-05,False,0.1,nadam,0.0003,1024,huber,,,,3.0,3.0,32.0,double,,90249,25,0.0012492630630731583,0.0012479941360652447,0.0012479941360652447,-0.0010157404356389585,False,0.9880290763639161,1.3121859915279281,1.0873852048002703,0.0066094588860745596,24.7,"[32, 64, 128]",13.0
