trial,latent_dim,conv_filters,resolved_filters,dense_units,lr,num_layers,best_val_binary_acc,best_val_recon_loss,best_val_loss,epochs_run
174,32,"(32, 64, 128)","(32, 64, 128, 256)",128,0.01,4,0.9249451756477356,0.0004441920027602464,0.6163244843482971,27
175,32,"(32, 64, 128)","(32, 64)",128,0.001,2,0.9380841255187988,0.00011892851034644991,0.2638487219810486,37
176,32,"(32, 64, 128)","(32, 64, 128)",128,0.001,3,0.9415166974067688,0.00017576511891093105,0.31245577335357666,33
177,32,"(32, 64, 128)","(32, 64, 128, 256)",128,0.001,4,0.943290650844574,0.00014239992015063763,0.27593445777893066,65
178,32,"(32, 64, 128)","(32, 64)",128,0.0001,2,0.9352573156356812,0.0001482999650761485,0.29941752552986145,99
179,32,"(32, 64, 128)","(32, 64, 128)",128,0.0001,3,0.9377380013465881,0.00017756309534888715,0.3227602541446686,100
180,32,"(32, 64, 128)","(32, 64, 128, 256)",128,0.0001,4,0.9419060945510864,0.00018615803855936974,0.3247746229171753,100
181,32,"(64, 128, 256)","(64, 128)",16,0.01,2,0.9096572995185852,0.043352868407964706,43.55805587768555,17
182,32,"(64, 128, 256)","(64, 128, 256)",16,0.01,3,0.9181666374206543,0.043352849781513214,43.53536605834961,22
183,32,"(64, 128, 256)","(64, 128, 256, 512)",16,0.01,4,0.9053449630737305,0.00047917160554789007,0.6865012645721436,23
184,32,"(64, 128, 256)","(64, 128)",16,0.001,2,0.9367428421974182,0.00011738872126443312,0.2682548761367798,36
185,32,"(64, 128, 256)","(64, 128, 256)",16,0.001,3,0.9399734735488892,0.00012844635057263076,0.27075880765914917,48
186,32,"(64, 128, 256)","(64, 128, 256, 512)",16,0.001,4,0.9409253597259521,0.0001570157619426027,0.2976990342140198,43
187,32,"(64, 128, 256)","(64, 128)",16,0.0001,2,0.9267336130142212,0.0001313984248554334,0.29967865347862244,100
188,32,"(64, 128, 256)","(64, 128, 256)",16,0.0001,3,0.9373629689216614,0.00014178187120705843,0.29046839475631714,100
189,32,"(64, 128, 256)","(64, 128, 256, 512)",16,0.0001,4,0.9379110336303711,0.00015618873294442892,0.3043581545352936,85
190,32,"(64, 128, 256)","(64, 128)",32,0.01,2,0.9295171499252319,0.0002351256989641115,0.3960338830947876,51
191,32,"(64, 128, 256)","(64, 128, 256)",32,0.01,3,0.9195944666862488,0.04314877465367317,43.33045959472656,11
192,32,"(64, 128, 256)","(64, 128, 256, 512)",32,0.01,4,0.5112928152084351,0.04276688024401665,43.459293365478516,10
193,32,"(64, 128, 256)","(64, 128)",32,0.001,2,0.939281165599823,0.0001163551933132112,0.2569025158882141,45
194,32,"(64, 128, 256)","(64, 128, 256)",32,0.001,3,0.9398148059844971,0.00014683943300042301,0.29231640696525574,33
195,32,"(64, 128, 256)","(64, 128, 256, 512)",32,0.001,4,0.9425262212753296,0.00015141646144911647,0.289529412984848,46
196,32,"(64, 128, 256)","(64, 128)",32,0.0001,2,0.9318103194236755,0.0001314738765358925,0.2876727879047394,100
197,32,"(64, 128, 256)","(64, 128, 256)",32,0.0001,3,0.9387331008911133,0.0001386338408337906,0.2820819914340973,100
198,32,"(64, 128, 256)","(64, 128, 256, 512)",32,0.0001,4,0.9406368732452393,0.0001659056724747643,0.3095124363899231,77
199,32,"(64, 128, 256)","(64, 128)",64,0.01,2,0.9292142391204834,0.0002056707307929173,0.37290582060813904,38
200,32,"(64, 128, 256)","(64, 128, 256)",64,0.01,3,0.921368420124054,0.04294167459011078,43.1245002746582,13
201,32,"(64, 128, 256)","(64, 128, 256, 512)",64,0.01,4,0.900527834892273,0.00044479977805167437,0.6677541732788086,21
202,32,"(64, 128, 256)","(64, 128)",64,0.001,2,0.939281165599823,0.0001180743784061633,0.2647961974143982,39
203,32,"(64, 128, 256)","(64, 128, 256)",64,0.001,3,0.9416897296905518,0.00013117441267240793,0.2689692974090576,42
204,32,"(64, 128, 256)","(64, 128, 256, 512)",64,0.001,4,0.9419205188751221,0.00016607943689450622,0.3015998601913452,40
205,32,"(64, 128, 256)","(64, 128)",64,0.0001,2,0.937045693397522,0.0001305680489167571,0.27854305505752563,100
206,32,"(64, 128, 256)","(64, 128, 256)",64,0.0001,3,0.9408965110778809,0.0001350104430457577,0.27282053232192993,100
207,32,"(64, 128, 256)","(64, 128, 256, 512)",64,0.0001,4,0.9427714347839355,0.00013615396164823323,0.2680499851703644,100
208,32,"(64, 128, 256)","(64, 128)",128,0.01,2,0.9193781018257141,0.00021862205176148564,0.39980050921440125,28
209,32,"(64, 128, 256)","(64, 128, 256)",128,0.01,3,0.9259691834449768,0.0003444820467848331,0.5227206349372864,33
210,32,"(64, 128, 256)","(64, 128, 256, 512)",128,0.01,4,0.899027943611145,0.000514038372784853,0.7361642122268677,14
211,32,"(64, 128, 256)","(64, 128)",128,0.001,2,0.9396849870681763,0.00011889277811860666,0.2582101821899414,39
212,32,"(64, 128, 256)","(64, 128, 256)",128,0.001,3,0.9431464076042175,0.0001314315159106627,0.2655060589313507,40
213,32,"(64, 128, 256)","(64, 128, 256, 512)",128,0.001,4,0.94010329246521,0.00023704057093709707,0.3766680359840393,25
214,32,"(64, 128, 256)","(64, 128)",128,0.0001,2,0.9381129741668701,0.0001264177553821355,0.2690992057323456,100
