trial,latent_dim,conv_filters,resolved_filters,dense_units,lr,num_layers,best_val_binary_acc,best_val_recon_loss,best_val_loss,epochs_run
193,32,"(64, 128, 256)","(64, 128)",32,0.001,2,0.9346082806587219,0.00021339993691071868,0.3639729619026184,25
194,32,"(64, 128, 256)","(64, 128, 256)",32,0.001,3,0.9405359625816345,0.00021032823133282363,0.3450222611427307,37
109,32,"(16, 32, 64)","(16, 32)",16,0.01,2,0.9181089401245117,0.0002909038448706269,0.48363393545150757,25
110,32,"(16, 32, 64)","(16, 32, 64)",16,0.01,3,0.5112928152084351,0.007123756222426891,7.817636966705322,20
111,32,"(16, 32, 64)","(16, 32, 64, 128)",16,0.01,4,0.9208347797393799,0.00048116527614183724,0.6614754796028137,31
112,32,"(16, 32, 64)","(16, 32)",16,0.001,2,0.917892575263977,0.00024109646619763225,0.42804768681526184,45
113,32,"(16, 32, 64)","(16, 32, 64)",16,0.001,3,0.9380120038986206,0.00022772805823478848,0.3738095760345459,58
114,32,"(16, 32, 64)","(16, 32, 64, 128)",16,0.001,4,0.9410263299942017,0.0002218772133346647,0.3605124056339264,61
115,32,"(16, 32, 64)","(16, 32)",16,0.0001,2,0.9035277366638184,0.0002528417680878192,0.4665359556674957,186
116,32,"(16, 32, 64)","(16, 32, 64)",16,0.0001,3,0.9282190799713135,0.000256111758062616,0.4225643277168274,200
117,32,"(16, 32, 64)","(16, 32, 64, 128)",16,0.0001,4,0.9384302496910095,0.0002697421587072313,0.41612711548805237,166
118,32,"(16, 32, 64)","(16, 32)",32,0.01,2,0.9252336621284485,0.0002798003260977566,0.4477086663246155,23
119,32,"(16, 32, 64)","(16, 32, 64)",32,0.01,3,0.9282912015914917,0.000361110782250762,0.527458667755127,35
120,32,"(16, 32, 64)","(16, 32, 64, 128)",32,0.01,4,0.8700963258743286,0.0006716511561535299,0.9408277869224548,33
121,32,"(16, 32, 64)","(16, 32)",32,0.001,2,0.9289258122444153,0.00022776909463573247,0.385649710893631,58
122,32,"(16, 32, 64)","(16, 32, 64)",32,0.001,3,0.9333535432815552,0.00024686308461241424,0.40313583612442017,33
123,32,"(16, 32, 64)","(16, 32, 64, 128)",32,0.001,4,0.9393677115440369,0.0002549452765379101,0.39911484718322754,34
124,32,"(16, 32, 64)","(16, 32)",32,0.0001,2,0.9157869219779968,0.0002503278956282884,0.4382156729698181,172
125,32,"(16, 32, 64)","(16, 32, 64)",32,0.0001,3,0.9347525238990784,0.0002624697517603636,0.4134598970413208,179
126,32,"(16, 32, 64)","(16, 32, 64, 128)",32,0.0001,4,0.9375504851341248,0.00030313379829749465,0.44906020164489746,134
127,32,"(16, 32, 64)","(16, 32)",64,0.01,2,0.9313199520111084,0.00026235487894155085,0.41777175664901733,25
128,32,"(16, 32, 64)","(16, 32, 64)",64,0.01,3,0.9250317215919495,0.00033723542583175004,0.5116485953330994,37
129,32,"(16, 32, 64)","(16, 32, 64, 128)",64,0.01,4,0.5112928152084351,0.01502267736941576,15.71677017211914,8
