model_type,latent_dim,activation,output_activation,dropout,l2_reg,batch_norm,noise_std,optimizer,learning_rate,batch_size,loss,n_conv_layers,kernel_size,n_filters_start,filter_strategy,n_layers,start_width,width_strategy,filters,spatial,skips,n_params,best_epoch,train_loss,val_loss,best_val_loss,overfit_gap,is_overfit,val_strict_acc,val_primary_acc,val_secondary_acc,composite_score,train_time_s,widths
unet,32,leaky_relu,linear,0.1,1e-05,True,0.1,adam,0.0003,512,huber,2.0,5.0,16.0,double,,,,"[16, 32]",26.0,True,59857,25,0.00021430365450214595,0.00021430320339277387,0.00021430320339277387,-2.105000836907591e-06,False,0.6130725741317642,0.7445771316487827,0.8194300219222338,0.1935708645358143,14.7,
unet,8,leaky_relu,linear,0.0,0.0,False,0.05,nadam,0.001,512,mae,3.0,7.0,32.0,constant,,,,"[32, 32, 32]",13.0,True,43753,25,1.9491274088068167e-06,1.945217036336544e-06,1.945217036336544e-06,-0.0020062169628338915,False,0.35404407522787584,0.5911503403715241,0.5987077420099227,0.32297893499458025,13.7,
cnn,32,swish,linear,0.0,1e-05,True,0.05,adam,0.0001,256,huber,2.0,7.0,32.0,double,,,,"[32, 64]",26.0,,137953,25,0.00018390182231087238,0.00018363095296081156,0.00018363095296081156,-0.001472901935702062,False,0.602255682473751,0.7452117226260528,0.8107476635514018,0.19896397423960488,18.9,
dense,32,swish,linear,0.1,0.0001,True,0.1,adam,0.003,512,mse,,,,,3.0,128.0,funnel,,,,83208,20,0.0003303730918560177,0.0003301944234408438,0.0003301944234408438,-0.0005408080124508294,False,0.5176243221414562,0.7592015691704165,0.6895119418483905,0.24135293614099235,15.6,"[128, 128, 64]"
dense,8,leaky_relu,linear,0.3,1e-05,True,0.0,adamw,0.0001,512,mse,,,,,3.0,32.0,linear,,,,10048,25,0.004767447244375944,0.004765473306179047,0.004765473306179047,-0.0004140451054232681,False,0.3435444790584978,0.5648436598592362,0.5996307834314065,0.3306104971238406,16.5,"[32, 24, 16]"
unet,4,swish,linear,0.0,0.0,True,0.1,nadam,0.003,256,mae,3.0,7.0,16.0,constant,,,,"[16, 16, 16]",13.0,True,11701,25,0.00013191270409151912,0.00013191369362175465,0.00013191369362175465,7.501402100304337e-06,False,0.32043959847698167,0.5717376254759432,0.552930656513211,0.33984615760832004,23.5,
cnn,32,relu,linear,0.1,0.0001,False,0.05,nadam,0.0001,1024,mse,2.0,3.0,16.0,constant,,,,"[16, 16]",26.0,,28753,25,0.0007101173396222293,0.0007097891648299992,0.0007097891648299992,-0.0004621416404290491,False,0.48808699665397487,0.6658013153340256,0.7453847928925811,0.25631139625542754,11.0,
dense,8,swish,linear,0.2,1e-05,True,0.1,adam,0.003,1024,mae,,,,,4.0,64.0,funnel,,,,8224,25,0.016960501670837402,0.01692785881459713,0.01692785881459713,-0.0019246397821121068,False,0.3281700703819084,0.5874870197300104,0.5577477789315796,0.3443788942163444,13.8,"[32, 8, 8, 8]"
unet,8,relu,linear,0.3,1e-05,True,0.0,adamw,0.001,1024,huber,3.0,3.0,32.0,constant,,,,"[32, 32, 32]",13.0,True,23785,25,0.00017347719403915107,0.00017339039186481386,0.00017339039186481386,-0.0005003664880446383,False,0.24010614976347064,0.49007730471904926,0.48733702549901925,0.3800336203141971,16.6,
cnn,16,swish,linear,0.2,0.0,False,0.1,adam,0.003,256,mse,3.0,7.0,32.0,constant,,,,"[32, 32, 32]",13.0,,43025,17,0.00014353572623804212,0.0001430458651157096,0.0001430458651157096,-0.0034128166915052163,False,0.5953040267682013,0.7398753894080997,0.80544017537787,0.20241950954845722,20.0,
unet,8,swish,linear,0.1,0.0001,True,0.0,adamw,0.0001,1024,mse,2.0,7.0,16.0,constant,,,,"[16, 16]",26.0,True,11305,3,0.004273588303476572,0.004273273516446352,0.004273273516446352,-7.365871671914487e-05,False,0.38949463482173763,0.6276393215645553,0.6279566170531903,0.30738931934735436,8.7,
unet,8,relu,linear,0.2,1e-05,True,0.0,adamw,0.003,512,huber,3.0,7.0,16.0,double,,,,"[16, 32, 64]",13.0,True,54905,25,1.4930516954336781e-05,1.4930554243619554e-05,1.4930554243619554e-05,2.4975212101988777e-06,False,0.26116303219106957,0.5007499711549556,0.524431752624899,0.369425949181587,19.3,
dense,16,elu,linear,0.3,0.0,False,0.1,adam,0.001,256,mae,,,,,3.0,32.0,linear,,,,12088,24,0.01140708476305008,0.011409973725676537,0.011409973725676537,0.0002532603804098279,False,0.39924425983616013,0.6473693319487712,0.6314180223837544,0.30608285694475823,15.3,"[32, 32, 32]"
cnn,16,swish,linear,0.1,0.0001,True,0.02,adam,0.0003,256,huber,3.0,7.0,64.0,double,,,,"[64, 128, 256]",13.0,,687377,25,7.91343190940097e-05,7.900312630226836e-05,7.900312630226836e-05,-0.001657849505035703,False,0.5751124956732433,0.7024345217491635,0.810603438329295,0.2124832537265295,32.9,
cnn,8,elu,linear,0.2,1e-05,True,0.0,adamw,0.001,1024,huber,2.0,3.0,32.0,constant,,,,"[32, 32]",26.0,,20969,25,0.000473213498480618,0.0004730610817205161,0.0004730610817205161,-0.0003220887835856126,False,0.35268835814007155,0.5898234683281413,0.5987942771431868,0.3238923514708245,12.7,
unet,16,swish,linear,0.3,1e-05,False,0.1,adamw,0.0001,256,mse,3.0,7.0,32.0,constant,,,,"[32, 32, 32]",13.0,True,50417,25,5.050879714474377e-09,5.050881490831216e-09,5.050881490831216e-09,1.7763568394002505e-07,False,0.24010614976347064,0.49007730471904926,0.48733702549901925,0.3799469276437054,21.8,
dense,32,leaky_relu,linear,0.0,0.0001,True,0.05,adam,0.001,256,huber,,,,,2.0,128.0,funnel,,,,11528,25,7.057224138407037e-05,7.043383811833337e-05,7.043383811833337e-05,-0.0019611572910625684,False,0.5443636783200646,0.7437983154494058,0.7452117226260528,0.22785337775902686,15.5,"[32, 32]"
unet,8,relu,linear,0.2,1e-05,False,0.05,nadam,0.0003,256,mse,3.0,7.0,32.0,double,,,,"[32, 64, 128]",13.0,True,186985,25,4.918546459009576e-09,4.918546014920366e-09,4.918546014920366e-09,-4.440892098500626e-08,False,0.24010614976347064,0.49007730471904926,0.48733702549901925,0.3799469275775377,24.3,
dense,8,leaky_relu,linear,0.1,1e-05,True,0.05,nadam,0.001,256,mse,,,,,1.0,64.0,geometric,,,,15088,24,0.0001382907503284514,0.00013796563143841922,0.00013796563143841922,-0.0023509807363109197,False,0.4140706126687435,0.66167647398177,0.6339852313372563,0.2930336764813475,14.3,[64]
unet,32,leaky_relu,linear,0.3,0.0,True,0.0,adamw,0.001,1024,huber,3.0,7.0,32.0,constant,,,,"[32, 32, 32]",13.0,True,64641,25,4.514989200288255e-07,4.55973349744454e-07,4.55973349744454e-07,0.009910167039475615,False,0.48024114457136263,0.721270335756317,0.6707626629745009,0.2598796557009936,15.5,
dense,8,swish,linear,0.2,0.0001,False,0.0,nadam,0.003,1024,mse,,,,,4.0,32.0,geometric,,,,9232,21,0.0036577684804797173,0.0036576073616743088,0.0036576073616743088,-4.4048388045420255e-05,False,0.24010614976347064,0.49007730471904926,0.48733702549901925,0.3817757287991018,11.4,"[32, 16, 16, 16]"
dense,4,leaky_relu,linear,0.0,0.0,False,0.02,adamw,0.003,512,huber,,,,,5.0,256.0,funnel,,,,224876,25,4.453564542927779e-05,4.440929478732869e-05,4.440929478732869e-05,-0.0028370677180315253,False,0.425695165570555,0.7136840890734971,0.6090054228683512,0.2871746218621162,14.0,"[256, 256, 64, 32, 32]"
unet,8,swish,linear,0.3,0.0001,True,0.05,adam,0.001,256,mse,3.0,3.0,32.0,double,,,,"[32, 64, 128]",13.0,True,98153,25,5.007747859053779e-06,5.007774234400131e-06,5.007774234400131e-06,5.266907818397745e-06,False,0.24010614976347064,0.49007730471904926,0.48733702549901925,0.37994942900538187,27.0,
unet,16,leaky_relu,linear,0.3,1e-05,False,0.0,adamw,0.0001,1024,mae,2.0,3.0,32.0,double,,,,"[32, 64]",26.0,True,67633,25,3.864540485665202e-05,3.8632239011349156e-05,3.8632239011349156e-05,-0.0003406833322538909,False,0.38202376831660323,0.6282450674974039,0.6081400715357101,0.30900743196120406,11.2,
dense,8,relu,linear,0.1,0.0,True,0.02,nadam,0.0001,512,mae,,,,,2.0,128.0,geometric,,,,46064,9,0.025899484753608704,0.025843117386102676,0.025843117386102676,-0.002176389532157518,False,0.2862582208376601,0.544392523364486,0.5301142263759087,0.3697924482742213,10.9,"[128, 64]"
dense,4,elu,linear,0.2,0.0,True,0.0,adam,0.001,256,mae,,,,,4.0,32.0,funnel,,,,4412,25,0.014422754757106304,0.014405750669538975,0.014405750669538975,-0.0011789764059429244,False,0.2931810314987885,0.5352486442829122,0.5539690781123803,0.36061235958537524,22.1,"[16, 8, 8, 8]"
dense,32,swish,linear,0.0,1e-05,False,0.0,nadam,0.001,512,huber,,,,,1.0,32.0,linear,,,,8904,25,0.00013911268615629524,0.00013903644867241383,0.00013903644867241383,-0.000548026826221729,False,0.5744490596515519,0.7440290758047767,0.7832006461289951,0.21284498839856025,8.0,[32]
cnn,32,relu,linear,0.3,0.0,False,0.05,nadam,0.0003,256,mae,3.0,7.0,64.0,constant,,,,"[64, 64, 64]",13.0,,170017,15,0.005550156347453594,0.005532747134566307,0.005532747134566307,-0.003136706751562858,False,0.621437637013961,0.7435675550940348,0.8328718126225915,0.19204755506030263,20.6,
cnn,16,swish,linear,0.0,0.0001,False,0.02,adamw,0.003,256,mse,3.0,5.0,32.0,constant,,,,"[32, 32, 32]",13.0,,34705,23,0.0036679378245025873,0.0036678100004792213,0.0036678100004792213,-3.484901584538412e-05,False,0.24010614976347064,0.49007730471904926,0.48733702549901925,0.3817808301185043,18.4,
unet,4,leaky_relu,linear,0.2,0.0001,True,0.05,adam,0.003,256,mae,2.0,3.0,32.0,double,,,,"[32, 64]",26.0,True,28325,24,1.014138433674816e-05,1.0141387065232266e-05,1.0141387065232266e-05,2.6904454211757785e-07,False,0.24010614976347064,0.49007730471904926,0.48733702549901925,0.3799519958117973,20.3,
unet,16,elu,linear,0.2,0.0001,False,0.1,adamw,0.003,1024,mae,3.0,7.0,32.0,constant,,,,"[32, 32, 32]",13.0,True,50417,25,2.062367002508836e-06,2.0623683667508885e-06,2.0623683667508885e-06,6.614933476921489e-07,False,0.24010614976347064,0.49007730471904926,0.48733702549901925,0.37994795630244804,13.9,
